hhid,weight,account_num,account_type,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246,mm_account
1001,145.94444,1,SACCO Account,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no,yes
1001,145.94444,2,VSLA Account,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no,yes
1002,122.90667,1,Mobile Money,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no,no
1002,122.90667,2,Bank Account,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no,no
1002,122.90667,3,VSLA Account,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no,no
1003,760.46191,1,Mobile Money,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no,yes
1003,760.46191,2,Bank Account,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no,yes
1004,433.96402,1,Mobile Money,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no,yes
1005,303.04395,1,None,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no,yes
1006,1053.4429,1,Mobile Money,District_B,Rural,female,36,7,primary 3,no,yes,,,,,,,,,,,,,,,,no
1007,259.29567,1,Mobile Money,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,no,,no,no,no
1007,259.29567,2,SACCO Account,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,no,,no,no,no
1007,259.29567,3,VSLA Account,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,no,,no,no,no
1008,673.10869,1,Mobile Money,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes,yes
1008,673.10869,2,SACCO Account,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes,yes
1009,471.62469,1,None,District_C,Rural,female,37,5,primary 6,yes,yes,no,,,,,,yes,yes,yes,no,no,yes,,no,no,no
1010,289.40952,1,Mobile Money,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no,yes
1010,289.40952,2,VSLA Account,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no,yes
1011,233.16049,1,Mobile Money,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no,yes
1011,233.16049,2,Bank Account,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no,yes
1011,233.16049,3,VSLA Account,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no,yes
1012,1335.6165,1,Mobile Money,District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,,no
1012,1335.6165,2,SACCO Account,District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,,no
1012,1335.6165,3,VSLA Account,District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,,no
1013,157.29185,1,Mobile Money,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no,yes
1013,157.29185,2,Bank Account,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no,yes
1013,157.29185,3,SACCO Account,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no,yes
1013,157.29185,4,VSLA Account,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no,yes
1014,390.09477,1,Mobile Money,District_C,Rural,female,32,4,primary 3,no,yes,-97,,,,,,,,,,,,,,,no
1014,390.09477,2,MFI Account,District_C,Rural,female,32,4,primary 3,no,yes,-97,,,,,,,,,,,,,,,no
1014,390.09477,3,VSLA Account,District_C,Rural,female,32,4,primary 3,no,yes,-97,,,,,,,,,,,,,,,no
1015,224.36956,1,Mobile Money,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1015,224.36956,2,SACCO Account,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1016,301.16223,1,Mobile Money,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1016,301.16223,2,SACCO Account,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1016,301.16223,3,VSLA Account,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1017,509.0963,1,Mobile Money,District_A,Urban,female,20,9,other,yes,yes,yes,,,,,,no,no,no,no,no,no,no,no,yes,no
1018,688.5538,1,VSLA Account,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,,,,,,,,,,yes
1019,192.6637,1,Mobile Money,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no,yes
1019,192.6637,2,Bank Account,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no,yes
1019,192.6637,3,SACCO Account,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no,yes
1019,192.6637,4,VSLA Account,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no,yes
1020,278.15822,1,SACCO Account,District_C,Rural,female,70,2,primary 1,no,,,,,,,,,,,,,,,,,no
1021,211.93007,1,Mobile Money,District_C,Urban,female,33,6,university,no,yes,yes,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no,yes
1021,211.93007,2,SACCO Account,District_C,Urban,female,33,6,university,no,yes,yes,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no,yes
1022,522.94434,1,Mobile Money,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no,yes
1022,522.94434,2,Bank Account,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no,yes
1022,522.94434,3,MFI Account,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no,yes
1022,522.94434,4,SACCO Account,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no,yes
1022,522.94434,5,VSLA Account,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no,yes
1023,216.59077,1,SACCO Account,District_B,Rural,male,24,3,primary 3,no,yes,no,Company_B,,yes,,,no,yes,no,yes,no,yes,yes,yes,no,yes
1024,210.97143,1,SACCO Account,District_A,Rural,female,23,3,university,no,yes,no,Company_A,,yes,no,no,no,yes,no,yes,no,yes,,no,no,yes
1024,210.97143,2,VSLA Account,District_A,Rural,female,23,3,university,no,yes,no,Company_A,,yes,no,no,no,yes,no,yes,no,yes,,no,no,yes
1025,1667.6888,1,Mobile Money,District_C,Rural,female,27,5,secondary 2,yes,yes,no,,,,no,,yes,no,yes,no,no,yes,,no,no,no
1025,1667.6888,2,Bank Account,District_C,Rural,female,27,5,secondary 2,yes,yes,no,,,,no,,yes,no,yes,no,no,yes,,no,no,no
1025,1667.6888,3,VSLA Account,District_C,Rural,female,27,5,secondary 2,yes,yes,no,,,,no,,yes,no,yes,no,no,yes,,no,no,no
1026,204.34289,1,Mobile Money,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1026,204.34289,2,Bank Account,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1026,204.34289,3,MFI Account,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1026,204.34289,4,SACCO Account,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1027,433.18154,1,None,District_B,Rural,female,21,4,primary 6,no,yes,no,Company_B,,no,no,,no,no,yes,no,no,no,,no,no,yes
1028,137.839,1,Mobile Money,District_A,Rural,male,24,5,primary 4,no,yes,no,Company_B,,no,no,,no,yes,no,no,no,no,,yes,no,yes
1029,108.19048,1,None,District_A,Urban,female,39,3,primary 6,no,yes,no,Company_A,,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,yes
1030,3163.525,1,Mobile Money,District_B,Rural,male,26,3,primary 3,no,yes,no,,,,,,,,,,,,,,,no
1030,3163.525,2,SACCO Account,District_B,Rural,male,26,3,primary 3,no,yes,no,,,,,,,,,,,,,,,no
1031,216.59077,1,Mobile Money,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1031,216.59077,2,Bank Account,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1031,216.59077,3,SACCO Account,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1031,216.59077,4,VSLA Account,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no,yes
1032,231.95012,1,Mobile Money,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no,yes
1032,231.95012,2,Bank Account,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no,yes
1032,231.95012,3,VSLA Account,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no,yes
1033,1018.9576,1,Mobile Money,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no,yes
1033,1018.9576,2,Bank Account,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no,yes
1033,1018.9576,3,SACCO Account,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no,yes
1034,163.97105,1,Mobile Money,District_B,Rural,female,25,3,primary 1,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1034,163.97105,2,Bank Account,District_B,Rural,female,25,3,primary 1,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1034,163.97105,3,VSLA Account,District_B,Rural,female,25,3,primary 1,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
